museo_id,museo_nombre,museo_tematica_n1,museo_fecha_fundacion,museo_adscripcion,estado_id,nom_ent,municipio_id,nom_mun,localidad_id,nom_loc,museo_calle_numero,museo_colonia,museo_cp,museo_telfono1,pagina_web,pagina_web2,email,twitter,gmaps_longitud,gmaps_latitud,link_sic,fecha_mod,,,
1453,Museo de Sitio los Arquitos,Historia,1994-11-01,Instituto Cultural de Aguascalientes,1,Aguascalientes,1,Aguascalientes,1,AGUASCALIENTES,Alameda y Heroe de Nacozari,Barrio La Purisima,20000,,http://www.aguascalientes.gob.mx/temas/cultura/espacios/museos/M_arq.aspx,https://www.facebook.com/CentroCulturalLosArquitos?fref=ts,icarquitos@yahoo.com.mx,,-102.28177,21.88286,http://sic.gob.mx/ficha.php?table=museo&table_id=1453,2017-03-10 13:09:10-06,,,
1790,Museo Espacio de Aguascalientes,Arte,2016-01-29,Instituto Cultural de Aguascalientes (ICA),1,Aguascalientes,1,Aguascalientes,1,AGUASCALIENTES,Manuel Gomez Morin s/n,Col. Ferronales,20259,,http://meca.gob.mx/,,museoespacio@meca.gob.mx,,-102.28105,21.89084,http://sic.gob.mx/ficha.php?table=museo&table_id=1790,2017-05-04 10:34:32-05,,,
1046,Museo Jose Guadalupe Posada,Arte,1972-09-16,Instituto Cultural de Aguascalientes,1,Aguascalientes,1,Aguascalientes,1,AGUASCALIENTES,Jardin del Encino s/n,Barrio El Encino,20240,,http://www.aguascalientes.gob.mx/temas/cultura/espacios/museos/M_posada.aspx,https://www.facebook.com/MuseoGuadalupePosada?fref=ts,museojgposada@yahoo.com.mx,,-102.29293,21.87523,http://sic.gob.mx/ficha.php?table=museo&table_id=1046,2017-05-04 10:39:29-05,,,
602,Descubre. Centro Interactivo de Ciencia y Tecnologia,Ciencia y tecnologia,1996-11-15,Instituto para el Desarrollo de la Sociedad y el Conocimiento del Estado de Aguascalientes (IDSCEA),1,Aguascalientes,1,Aguascalientes,1,AGUASCALIENTES,Av. San Miguel s/n,Jardines del Parque,20270,,http://www.descubre.gob.mx,,oscar.delgadillo@me.com,descubreAGS,-102.28907,21.85675,http://sic.gob.mx/ficha.php?table=museo&table_id=602,2017-03-10 12:13:40-06,,,
217,Museo de Arte Contemporaneo No. 8,Arte,1991-04-14,Instituto Cultural de Aguascalientes,1,Aguascalientes,1,Aguascalientes,1,AGUASCALIENTES,Morelos s/n,Centro,20000,,http://www.museosygalerias.com.mx,https://www.facebook.com/Mac8-135360483175580/timeline/,mac8ica@gmail.com,,-102.29499,21.88294,http://sic.gob.mx/ficha.php?table=museo&table_id=217,2017-03-10 12:39:21-06,,,
1808,Museo Escarcega,Arte,2015-05-21,"Museo Escarcega, A.C.",1,Aguascalientes,1,Aguascalientes,1,AGUASCALIENTES,Ezequiel A. Chavez 311,Barrio de la Purisima,20259,,http://www.museoescarcega.com/,https://www.facebook.com/Museo-Esc%C3%A1rcega-AC-606693299441921/timeline,museoescarcega@hotmail.com,,-102.28583,21.88476,http://sic.gob.mx/ficha.php?table=museo&table_id=1808,2017-05-04 10:27:09-05,,,
1169,Museo Nacional de la Muerte,Arte,2007-06-19,Universidad Autonoma de Aguascalientes,1,Aguascalientes,1,Aguascalientes,1,AGUASCALIENTES,Rivero y Gutierrez esq. Morelos,Centro,20000,,http://museonacionaldelamuerte.uaa.mx,,japadill@correo.uua.mx,,-102.29577,21.88383,http://sic.gob.mx/ficha.php?table=museo&table_id=1169,2017-05-04 10:42:26-05,,,
929,Museo Ferrocarrilero de Aguascalientes,Historia,2003-03-04,Instituto Cultural de Aguascalientes,1,Aguascalientes,1,Aguascalientes,1,AGUASCALIENTES,28 de Agosto s/n,Barrio La Estacion,20059,,http://www.aguascalientes.gob.mx/temas/cultura/espacios/museos/M_ferro.aspx,,mferrocarrilero@gmail.com,,-102.28029,21.88386,http://sic.gob.mx/ficha.php?table=museo&table_id=929,2017-03-10 13:21:57-06,,,
223,Museo de Aguascalientes,Arte,1975-10-22,Instituto Cultural de Aguascalientes,1,Aguascalientes,1,Aguascalientes,1,AGUASCALIENTES,Zaragoza 505,Centro,20230,,http://www.aguascalientes.gob.mx/temas/cultura/espacios/museos/m_aguas.aspx,https://www.facebook.com/pages/Museo-Aguascalientes/168042823240385?fref=ts,museoaguascalientes@gmail.com,,-102.29145,21.88578,http://sic.gob.mx/ficha.php?table=museo&table_id=223,2017-03-10 12:38:02-06,,,
361,Museo de la Fauna,Ciencia y tecnologia,1989-04-24,"Secretaria del Medio Ambiente Estatal, Gobierno del Estado de Aguascalientes",1,Aguascalientes,1,Aguascalientes,1,AGUASCALIENTES,Blvd. Jose Maria Chavez s/n,Col. Ciudad Industrial,20290,,http://www.aguascalientes.gob.mx/IMAE/AreasVerdes/CearRLG.aspx,http://www.disfruta-aguascalientes.com/QueVisitar/Museos/museo-de-la-fauna.html,rquel.baccio@aguascalientes.gob.mx,,-102.29151,21.85171,http://sic.gob.mx/ficha.php?table=museo&table_id=361,2017-06-20 08:37:35-05,,,
